blood_pixels,blood_coverage,int_mean,int_std,int_min,int_max,int_median,int_p10,int_p90,int_cv,int_entropy,mist_frac_pixels,dark_core_frac_pixels,total_stains,mean_area,median_area,std_area,max_area,stains_per_Mpx,dominant_ratio,top3_ratio,frac_small,frac_large,num_passive_like,frac_passive_like,dist_mean_norm,dist_std_norm,dist_mean_intw,dist_std_intw,r50_norm,r90_norm,radial_density_slope,outer_pixel_frac,outer_inner_density_ratio,mean_aspect_small,mean_aspect_large,frac_elongated_small,frac_elongated_all,elong_orientation_std_deg,elong_outer_frac,nn_mean_norm,nn_std_norm,mean_R,mean_G,mean_B,mean_S,mean_V,mean_Rdom,path,label
370948.0,0.0074000159591445895,148.98776245117188,51.91635513305664,15.0,247.0,150.0,75.0,220.0,0.3484605307876262,0.9567636509622611,0.3034279737321673,0.30344414850599005,10141.0,36.57903559806725,12.0,104.01220976119666,4323.0,202.30210660708585,0.011653924539288525,0.02873448569610835,0.3971994872300562,0.25184893008579035,3533.0,0.3483877329651908,0.08405134730742454,0.0455482182319242,0.08437930977838638,0.04535364411263291,0.0811554523780876,0.13569070983681192,-25.797263643021704,0.5095053754165004,0.05727938518762772,0.9270656655585089,0.8124080834125244,0.011420059582919563,0.05867271472241396,24.523194411078165,0.06752730883813307,0.002610500134750456,0.003458283276677931,196.2183405760376,132.321511370866,110.90460118399345,120.59943711787096,196.2183405760376,132.94903059188889,C:\BPA\data\Gunshot\GS - 100.jpg,gunshot
375996.0,0.007500718161506543,140.73995971679688,56.70293045043945,13.0,247.0,142.0,60.0,218.0,0.4028914756096854,0.9712792640621198,0.3044686645602613,0.3028223704507495,10491.0,35.83986273949099,12.0,99.79104131789259,4286.0,209.28423236514521,0.011399057436781242,0.024795476547622847,0.2574587741873987,0.25717281479363263,3593.0,0.3424840339338481,0.08414434456428538,0.0459611829997955,0.08454800445829035,0.04581899571067994,0.08109140593249851,0.13600209947502573,-25.182648418475488,0.5085851977148693,0.05708405398752707,1.0,0.8119972037947437,0.0,0.06148126965970832,24.910710056368202,0.0675422138836773,0.002667697874412351,0.0038776516200320714,191.63626208789455,122.7363083649826,99.92706039425951,134.95979212544813,191.63626208789455,132.9015627825828,C:\BPA\data\Gunshot\GS - 101.jpg,gunshot
352978.0,0.007041533673795085,143.58840942382812,50.763858795166016,14.0,247.0,143.0,74.0,215.0,0.3535372990433348,0.9556056885185517,0.30276957770739255,0.3007212914119294,9796.0,36.032870559412004,12.0,102.65936998133817,4301.0,195.41972550271305,0.012184895375915779,0.029089631648431348,0.28307472437729686,0.25673744385463454,3511.0,0.3584115965700286,0.08423202497786006,0.046097077158324326,0.08455609276647731,0.04582103470718098,0.08136148676751724,0.13559272694400828,-25.00376802098768,0.510383083364969,0.05749551227710077,1.0,0.8213301547885319,0.0,0.055941200489995915,24.41326852364065,0.07216494845360824,0.0026270227614373473,0.0033718188242175613,192.98715500682763,126.1500631767419,103.79930760557315,127.2973556425613,192.98715500682763,129.6348596796401,C:\BPA\data\Gunshot\GS - 102.jpg,gunshot
320736.0,0.006398340248962656,161.1011962890625,61.13758087158203,13.0,247.0,167.0,75.0,231.0,0.379497991947778,0.9435520971563618,0.30232964182380523,0.30883343310386113,28670.0,11.181583536798048,5.0,33.7693208018634,1985.0,571.9358442387488,0.006191979437013376,0.014467708125374327,0.7408440878967562,0.25898151377746775,23559.0,0.8217300313916986,0.1545702356180416,0.11585788528757189,0.17601268630465258,0.12016221382997427,0.1095839150503479,0.3438408667253217,-11.929338997950989,0.5904513369250723,0.10262671161249132,1.0,0.6908896093503324,0.0,0.09414021625392396,19.686523599344024,0.05690103502778769,0.005419187756919666,0.0032083779992005306,203.56420545245933,143.60567257807043,139.80077072732715,98.84683665070338,203.56420545245933,132.19960497106655,C:\BPA\data\Gunshot\GS - 103.jpg,gunshot
712358.0,0.014224400958466454,97.07425689697266,42.41265106201172,12.0,187.0,97.0,38.0,157.0,0.43690935146808263,0.9199685574360588,0.3002886189247541,0.30294318306244894,13043.0,54.61611592425056,12.0,593.8797377446546,64625.0,260.4432907348243,0.090719834689861,0.11134710356309609,0.37752050908533313,0.25063252319251705,3431.0,0.26305297860921567,0.060591079761631084,0.038855017659190604,0.06083736930212256,0.03849588130425003,0.05498798890199583,0.10694382519225687,-27.63132892895922,0.24257746807082955,0.017670864659600393,0.9150703445042881,0.7506109338675458,0.03411860276198213,0.12236448669784558,24.48353410239232,0.17899761336515513,0.002490906841732091,0.005210916489803837,137.06874071744824,82.85103136344367,65.39860575721758,147.53620791792892,137.06874071744824,86.04385786360228,C:\BPA\data\Gunshot\GS - 104.jpg,gunshot
468785.0,0.00936072284345048,141.25244140625,61.52053451538086,12.0,247.0,150.0,53.0,217.0,0.4355360761723633,0.9692259478074217,0.30321789306398456,0.30607634629947633,62434.0,7.501057116314828,5.0,10.231111002791843,318.0,1246.685303514377,0.0006790214404222744,0.0019367058064874306,0.7496876701797097,0.25013614376781884,51520.0,0.8251914021206394,0.2283092048313929,0.14949907052056494,0.2119319726175918,0.13413727118341578,0.23346463557383876,0.4293630546786168,-6.608941201171597,0.44822679906566976,0.0928962331842586,1.0,0.6531541814271711,0.0,0.12392286254284525,20.4277923314674,0.09159972601033688,0.005296247305334628,0.003485398443366755,184.24305811832716,121.8151306035816,128.5685804793242,106.22681826423627,184.24305811832716,123.83006708832407,C:\BPA\data\Gunshot\GS - 105.jpg,gunshot
755094.0,0.015077755591054313,152.132080078125,52.66170120239258,25.0,247.0,155.0,76.0,222.0,0.34615776520764874,0.9566656797693832,0.30003019491612964,0.30163529308933723,12293.0,61.42471325144391,14.0,997.2550489226178,108884.0,245.46725239616615,0.14419926525704085,0.16122098705591623,0.3264459448466607,0.25640608476368665,2832.0,0.23037501016838852,0.06051701573226773,0.03891073986063215,0.06074892892685618,0.038732988762299844,0.05480904542523781,0.1067555564849243,-27.531232087193686,0.2413116777513793,0.017549803363537845,0.9073238645979114,0.7408825426684921,0.02442063294293546,0.1279590010575124,25.204385492003,0.1362530413625304,0.002406267612719783,0.003996656507852317,198.77618548154268,135.80988592148793,113.8206964960654,119.2137204109687,198.77618548154268,136.25404452955527,C:\BPA\data\Gunshot\GS - 106.jpg,gunshot
399355.0,0.007974341054313099,170.48890686035156,34.79412841796875,71.0,247.0,174.0,120.0,213.0,0.2040844114414107,0.8900220738513518,0.3005871968549286,0.30177911882911196,7358.0,54.27493884207665,19.0,189.18243681821716,13416.0,146.92492012779553,0.03359417060009265,0.043715491229607745,0.2777928784995923,0.2519706441967926,2256.0,0.3066050557216635,0.060136983897638406,0.039431893181978823,0.05998992005898858,0.03946445760098682,0.0541093310407433,0.10650773465922511,-27.933453333561637,0.23186388050731804,0.01665419599522689,0.9287382140622055,0.7663950815561839,0.025440313111545987,0.09853220983963033,25.947707034036664,0.17346938775510204,0.0024711387359253535,0.004755171477598192,235.30748582088617,147.48838502084612,118.90763606315183,128.05237445380678,235.30748582088617,170.12539094289542,C:\BPA\data\Gunshot\GS - 107.jpg,gunshot
432305.0,0.00866968153377186,136.23129272460938,55.874107360839844,13.0,247.0,133.0,62.0,216.0,0.41014150150984374,0.9652921313445285,0.3027630954997051,0.3013335492302888,11549.0,37.43224521603602,12.0,98.80608884399341,3411.0,231.6099791432697,0.007890262661778143,0.0203629382033518,0.37535717378127975,0.25595289635466273,4642.0,0.4019395618668283,0.10638791497188739,0.057696807932704916,0.10672942713908092,0.05797383074229088,0.09771767432422074,0.18387459945711587,-22.150832768189677,0.6239645620568811,0.0920048870657336,0.9115633279835342,0.842908594183463,0.006228373702422145,0.04329379167027448,25.27317862049676,0.04383975812547241,0.003303409098630534,0.003703142796588921,184.43270607557164,118.9116110153711,98.97245463272458,130.69349186338349,184.43270607557164,125.20875654919558,C:\BPA\data\Gunshot\GS - 108.jpg,gunshot
452515.0,0.009074983956361303,101.16173553466797,52.560707092285156,12.0,206.0,100.0,30.0,175.0,0.5195710245075982,0.946000247225712,0.30073920201540283,0.3035037512568644,11666.0,38.78921652665866,14.0,92.86896503594281,2870.0,233.9563613027435,0.006342331193441101,0.016335370098228788,0.29024515686610664,0.2539859420538316,3919.0,0.3359334819132522,0.10605567396241511,0.0577278162725675,0.10654732568079343,0.05799226326931051,0.0972049785906379,0.18298676513106493,-21.834790234087436,0.622584886688839,0.09157545133805252,0.8846383370228972,0.8367175577593333,0.007974010632014175,0.05040288016458083,25.98435401591589,0.05221339387060159,0.003296858456116777,0.0037585472730969206,143.44304608687005,85.54166160237781,70.67158436736904,148.72049766306088,143.44304608687005,98.59297371357856,C:\BPA\data\Gunshot\GS - 109.jpg,gunshot
