pattern_id,num_stains,area_mean,area_std,major_axis_mean,major_axis_std,minor_axis_mean,minor_axis_std,solidity_mean,solidity_std,impact_angle_mean,impact_angle_std,adjusted_impact_angle_mean,adjusted_impact_angle_std,distance_to_centroid_mean,distance_to_centroid_std,mean_intensity_mean,mean_intensity_std,intensity_stddev_mean,intensity_stddev_std,hue_mean_mean,hue_mean_std,hue_std_mean,hue_std_std,sat_mean_mean,sat_mean_std,sat_std_mean,sat_std_std,val_mean_mean,val_mean_std,val_std_mean,val_std_std,shade_mean,shade_std,evenness_mean,evenness_std,orientation_cvar,fract_stains_ring_15_25,fract_stains_ring_25_35,ring_with_max_stains,fract_stains_vbin_25_35,vbin_with_max_stains,valid_stains,orig_h,orig_w,resized_h,resized_w,label_int
GS-33,938.0,1123.9434968017058,1704.110424019588,48.21044820466363,24.459765950250425,26.880265793981355,12.814500240258429,0.9033082675208303,0.05587900832131029,0.5797668773435187,0.13074476054777442,0.6194094507355375,0.12463068032347928,4954.27290264666,3629.863615497009,178.05790572093883,16.476015349832448,16.852507459196048,4.314566667860174,7.272530822329835,2.0537940693770866,4.849502617028371,6.94288614630026,166.10727972588978,17.59361578656742,32.20597532789068,6.314656619664532,178.05790572093883,16.476015349832448,16.852507459196048,4.314566667860174,178.05790572093883,16.476015349832448,16.852507459196048,4.314566667860174,0.33706152820785695,0.1865671641791045,0.05650319829424307,4,0.15671641791044777,19,938.0,26534,33967,26534,33967,0
GS-34,667.0,1031.5487256371814,911.4842276456965,47.0733831308093,20.718232559215043,26.59090296533919,10.55187456204986,0.8975678950415557,0.056933323667459845,0.5837070707919252,0.11948970026137029,0.6268126380725515,0.11069873345709774,3803.938893545504,2222.8195167661834,182.6554223502998,13.730852811785923,15.402982843249745,4.026571293117614,7.756845970364209,0.9519918797074602,3.1203555413542827,4.477829450452942,162.0275620107898,16.06099210439096,29.474214788850375,5.894165084082486,182.6554223502998,13.730852811785923,15.402982843249745,4.026571293117614,182.6554223502998,13.730852811785923,15.402982843249745,4.026571293117614,0.32563841459075493,0.16941529235382308,0.034482758620689655,10,0.15142428785607195,17,667.0,26629,33946,26629,33946,0
GS-35,535.0,946.3981308411215,889.4342162802893,44.3575668645084,19.262646820334464,24.977755999966405,11.463506677801439,0.9142629632563899,0.05013572071152755,0.5749490207152134,0.13583145779872222,0.607584556619649,0.13253953119423886,5075.105402996331,3522.2277136705975,156.38813210817986,13.78671778450747,17.234567311239033,4.010680334677365,7.056781668451383,1.201722614736922,5.989697880395389,7.251647369588684,184.7044788198314,13.314034499197659,31.670457504498643,4.765835677890406,156.38813210817986,13.78671778450747,17.234567311239033,4.010680334677365,156.38813210817986,13.78671778450747,17.234567311239033,4.010680334677365,0.27109035702347184,0.2635514018691589,0.044859813084112146,5,0.2205607476635514,11,535.0,25150,31625,25150,31625,0
GS-36,425.0,744.0470588235294,669.1387717756696,41.50497026406529,16.15506838146671,21.78122077089391,9.53745126072486,0.9295910684197962,0.05140654790556724,0.5525435240539409,0.18988869406877557,0.5678242934022406,0.1845111255753008,11325.93384905898,3757.183666599471,150.39142823173373,9.518199325430874,14.55963012050126,3.2204776568404796,6.290135816152542,1.3279751164010927,9.508038827757131,8.31233446780071,189.98807576886745,11.292469224697827,30.753605080719332,3.4705636459789164,150.39142823173373,9.518199325430874,14.55963012050126,3.2204776568404796,150.39142823173373,9.518199325430874,14.55963012050126,3.2204776568404796,0.10103497955412877,0.4329411764705882,0.36470588235294116,24,0.45176470588235296,36,425.0,26400,33767,26400,33767,0
GS-37,204.0,669.4313725490196,568.3420188931011,40.735881520885165,13.69394985695897,20.360435389064552,9.691138692485323,0.9126931223396773,0.06006753447276749,0.5251437045708356,0.2024744675741106,0.5436934705028872,0.1979583471125745,9486.899910308866,3869.329617034084,151.67790270658108,9.356041986037562,14.548234640430204,3.406518033936916,6.448324440915113,1.3771171262632151,9.780285176913127,8.328971719411898,187.76960998912773,11.637092540329322,30.672348140097743,4.177086605118104,151.67790270658108,9.356041986037562,14.548234640430204,3.406518033936916,151.67790270658108,9.356041986037562,14.548234640430204,3.406518033936916,0.07856494919259682,0.4411764705882353,0.24509803921568626,21,0.4068627450980392,33,204.0,26434,33767,26434,33767,0
GS-38,114.0,664.7017543859649,531.7921266948149,35.25420267570938,14.375172167791241,22.71364422777137,7.442586077066942,0.9364999005650826,0.05390172961399599,0.6707621672560851,0.12168806379266556,0.6883036199686193,0.11106599179808153,8868.795208888201,2947.6352250402633,152.31338907031133,9.46981339728857,12.290426678888474,3.565204422772485,7.390463933573953,0.7584743868054639,1.6475535650212043,0.5525710078163698,190.5998549445673,10.115963320301464,22.53937462911853,2.9585035928811028,152.31338907031133,9.46981339728857,12.290426678888474,3.565204422772485,152.31338907031133,9.46981339728857,12.290426678888474,3.565204422772485,0.21526669254589104,0.45614035087719296,0.2631578947368421,13,0.35964912280701755,29,114.0,26320,33705,26320,33705,0
GS-39,2.0,141.5,4.949747468305833,28.24380738284919,3.312272842986799,7.419999369273047,1.020097223397625,0.8250203998368013,0.025459883084338226,0.2666640140459874,0.06739039002509975,0.31013873502486833,0.09487389043313903,8359.052841763532,1863.230608808388,203.94352823588207,3.23622383913362,23.835030690923812,1.2701362114805173,8.515542228885558,0.7876059939573092,2.3591651445114783,0.2830321561727539,103.06931534232884,6.993536963393546,40.53046030670035,2.16455208356784,203.94352823588207,3.23622383913362,23.835030690923812,1.2701362114805173,203.94352823588207,3.23622383913362,23.835030690923812,1.2701362114805173,2.6071892584522693e-05,0.0,0.5,29,0.0,0,2.0,23520,16940,23520,16940,0
GS-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,-1,0.0,50218,13147,50218,13147,0
GS-40,62.0,172.79032258064515,102.52838664851163,22.53049883491006,7.557628746788473,10.516314228006463,2.2862609696737577,0.8622954030810711,0.06849718697158828,0.49708678678058577,0.13105825249521916,0.5421803035517592,0.12816615535092954,7127.820024471462,2666.7263411696476,180.53562784145666,8.969514083904295,26.591578793812054,3.3309430529237156,8.92939955746437,1.2740063559280441,5.752558058472885,6.416428774209592,133.88702042676866,13.847024461070957,48.15785526843312,7.354704169448559,180.53562784145666,8.969514083904295,26.591578793812054,3.3309430529237156,180.53562784145666,8.969514083904295,26.591578793812054,3.3309430529237156,0.2888553938049193,0.3064516129032258,0.4032258064516129,27,0.2903225806451613,38,62.0,23385,16953,23385,16953,0
GS-41,211.0,793.9526066350711,615.1578873058539,42.018041737923944,17.038602860425797,23.775478779482683,8.680678732228511,0.907228078819512,0.06359551288122403,0.5995106477385812,0.15974396254253082,0.6306675319886704,0.150340689524412,6094.560419595392,3365.9569859944513,188.52191117787427,14.197535673495894,19.840518587934277,5.208626554128983,10.292878537190854,5.301254670871299,25.094261505352524,15.76001531267809,139.1521627048249,13.51463189840894,29.655310116983816,6.374409824961364,188.52191117787427,14.197535673495894,19.840518587934277,5.208626554128983,188.52191117787427,14.197535673495894,19.840518587934277,5.208626554128983,0.3626768359027519,0.3127962085308057,0.04739336492890995,5,0.2796208530805687,17,211.0,25984,35433,25984,35433,0
